"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 23, 2020","107.78","107.78","107.78","107.78","-","-0.24%"
"Jul 22, 2020","108.04","108.04","108.04","108.04","-","0.43%"
"Jul 21, 2020","107.58","107.58","107.58","107.58","-","0.37%"
"Jul 20, 2020","107.18","107.18","107.18","107.18","-","-0.04%"
"Jul 17, 2020","107.22","107.22","107.22","107.22","-","0.02%"
"Jul 16, 2020","107.20","107.20","107.20","107.20","-","-0.34%"
"Jul 15, 2020","107.57","107.57","107.57","107.57","-","0.11%"
"Jul 14, 2020","107.45","107.45","107.45","107.45","-","0.49%"
"Jul 13, 2020","106.93","106.93","106.93","106.93","-","1.27%"
"Jul 10, 2020","105.59","105.59","105.59","105.59","-","0.94%"
"Jul 09, 2020","104.61","104.61","104.61","104.61","-","-0.40%"
"Jul 08, 2020","105.03","105.03","105.03","105.03","-","1.93%"
"Jul 07, 2020","103.04","103.04","103.04","103.04","-","1.48%"
"Jul 06, 2020","101.54","101.54","101.54","101.54","-","2.63%"
"Jul 02, 2020","98.94","98.94","98.94","98.94","-","0.95%"
"Jul 01, 2020","98.01","98.01","98.01","98.01","-","-4.80%"
"Jun 30, 2020","102.95","102.95","102.95","102.95","-","-0.11%"
"Jun 29, 2020","103.06","103.06","103.06","103.06","-","-0.16%"
"Jun 26, 2020","103.23","103.23","103.23","103.23","-","0.15%"
"Jun 25, 2020","103.08","103.08","103.08","103.08","-","-0.04%"
"Jun 24, 2020","103.12","103.12","103.12","103.12","-","0.26%"
"Jun 23, 2020","102.85","102.85","102.85","102.85","-","-0.08%"
"Jun 22, 2020","102.93","102.93","102.93","102.93","-","-0.11%"
"Jun 19, 2020","103.04","103.04","103.04","103.04","-","-0.01%"
"Jun 18, 2020","103.05","103.05","103.05","103.05","-","-0.13%"
"Jun 17, 2020","103.18","103.18","103.18","103.18","-","-0.27%"
"Jun 16, 2020","103.46","103.46","103.46","103.46","-","0.38%"
"Jun 15, 2020","103.07","103.07","103.07","103.07","-","-0.50%"
"Jun 12, 2020","103.59","103.59","103.59","103.59","-","0.82%"
"Jun 11, 2020","102.75","102.75","102.75","102.75","-","-0.14%"
"Jun 10, 2020","102.89","102.89","102.89","102.89","-","-0.09%"
"Jun 09, 2020","102.98","102.98","102.98","102.98","-","-0.42%"
"Jun 08, 2020","103.41","103.41","103.41","103.41","-","3.14%"
"Jun 05, 2020","100.26","100.26","100.26","100.26","-","1.43%"
"Jun 04, 2020","98.85","98.85","98.85","98.85","-","-1.54%"
"Jun 03, 2020","100.40","100.40","100.40","100.40","-","-0.27%"
"Jun 02, 2020","100.67","100.67","100.67","100.67","-","1.52%"
"Jun 01, 2020","99.16","99.16","99.16","99.16","0.00K","7.15%"
"May 29, 2020","92.54","92.54","92.54","92.54","-","0.53%"
"May 28, 2020","92.05","92.05","92.05","92.05","-","0.26%"
"May 27, 2020","91.81","91.81","91.81","91.81","-","0.19%"
"May 26, 2020","91.64","91.64","91.64","91.64","-","0.24%"
"May 22, 2020","91.42","91.42","91.42","91.42","-","0.24%"
"May 21, 2020","91.20","91.20","91.20","91.20","-","0.08%"
"May 20, 2020","91.13","91.13","91.13","91.13","-","0.53%"
"May 19, 2020","90.65","90.65","90.65","90.65","-","-0.92%"
"May 18, 2020","91.49","91.49","91.49","91.49","-","2.22%"
"May 15, 2020","89.50","89.50","89.50","89.50","-","0.86%"
"May 14, 2020","88.74","88.74","88.74","88.74","-","0.44%"
"May 13, 2020","88.35","88.35","88.35","88.35","-","0.61%"
"May 12, 2020","87.81","87.81","87.81","87.81","-","1.29%"
"May 11, 2020","86.69","86.69","86.69","86.69","-","-0.17%"
"May 08, 2020","86.84","86.84","86.84","86.84","-","1.06%"
"May 07, 2020","85.93","85.93","85.93","85.93","-","3.17%"
"May 06, 2020","83.29","83.29","83.29","83.29","-","0.28%"
"May 05, 2020","83.06","83.06","83.06","83.06","-","1.11%"
"May 04, 2020","82.15","82.15","82.15","82.15","-","-0.42%"
"May 01, 2020","82.50","82.50","82.50","82.50","-","-1.60%"
"Apr 30, 2020","83.84","83.84","83.84","83.84","-","0.01%"
"Apr 29, 2020","83.83","83.83","83.83","83.83","-","-0.06%"
"Apr 28, 2020","83.88","83.88","83.88","83.88","-","-0.10%"
"Apr 27, 2020","83.96","83.96","83.96","83.96","-","-0.02%"
"Apr 24, 2020","83.98","83.98","83.98","83.98","-","-0.07%"
"Apr 23, 2020","84.04","84.04","84.04","84.04","-","-0.11%"
"Apr 22, 2020","84.13","84.13","84.13","84.13","-","0.25%"
