month,aluminum,cobalt,copper,iron ore,lead,molybdenum,nickel,tin,uranium,zinc,dt_ym,dt_y,dt_m
Jan 1990,1528.0,7630.00011444092,2365.55699088135,14.05,707.0,,7056.0,6592.00016466675,9.0,1294.0,1990-01-01,1990,1
Feb 1990,1454.0,7659.99984741211,2358.9434,14.05,779.0,,6977.0,6156.09993710937,8.8,1394.0,1990-02-01,1990,2
Mar 1990,1567.0,8029.99877929688,2625.70272275848,14.05,1059.0,,9267.0,6270.50025783081,8.8,1666.0,1990-03-01,1990,3
Apr 1990,1526.0,8229.99954223633,2685.22689088135,14.05,835.0,,8939.0,6390.90057890625,8.65,1686.0,1990-04-01,1990,4
May 1990,1527.0,8150.00152587891,2740.34239088135,14.05,825.0,,8698.0,6324.60050771484,9.35,1775.0,1990-05-01,1990,5
Jun 1990,1566.0,8139.99938964844,2583.81490911865,14.05,837.0,,8422.0,6096.00035966797,11.0,1715.0,1990-06-01,1990,6
Jul 1990,1571.0,9110.00061035156,2769.00302275848,14.05,875.0,,9318.0,5924.40021498413,11.6,1637.0,1990-07-01,1990,7
Aug 1990,1782.0,11700.0007629395,2956.39555455933,14.05,875.0,,10957.0,5905.2006175293,11.45,1615.0,1990-08-01,1990,8
Sep 1990,2067.0,12419.9981689453,3040.17084544067,14.05,838.0,,10844.0,5707.00011245117,10.5,1537.0,1990-09-01,1990,9
Oct 1990,1946.0,13529.9987792969,2742.54697724152,14.05,760.0,,9145.0,6061.40044733276,8.5,1353.0,1990-10-01,1990,10
Nov 1990,1618.0,12630.0010681152,2583.81490911865,14.05,700.0,,8587.0,5981.3006444458,9.5,1278.0,1990-11-01,1990,11
Dec 1990,1522.0,13930.0003051758,2484.60700911865,14.05,624.0,,8158.0,5615.20037615356,9.7,1265.0,1990-12-01,1990,12
Jan 1991,1515.0,15689.998626709,2447.1282,15.03,600.0,,8569.0,5610.7579,9.1,1206.0,1991-01-01,1991,1
Feb 1991,1505.0,14840.0001525879,2447.1282,15.03,593.0,,8672.0,5582.09810911865,9.5,1188.0,1991-02-01,1991,2
Mar 1991,1496.0,14840.0001525879,2409.64939088135,15.03,602.0,,8700.0,5515.95950911865,9.4,1199.0,1991-03-01,1991,3
Apr 1991,1392.0,14840.0001525879,2471.37932275848,15.03,600.0,,9023.0,5557.84715455933,9.0,1254.0,1991-04-01,1991,4
May 1991,1299.94995117188,14330.0018310547,2340.4246727356,15.03,559.820068359375,,8499.609375,5698.72202270508,9.2,1127.73999023438,1991-05-01,1991,5
Jun 1991,1283.55004882813,13290.0009155273,2218.06802725677,15.03,549.43994140625,,8296.5,5709.30444091186,9.0,1067.44995117188,1991-06-01,1991,6
Jul 1991,1297.54663085938,12880.0010681152,2231.25534581909,15.03,549.590087890625,,8515.201171875,5673.59979650879,8.55,1063.41333007813,1991-07-01,1991,7
Aug 1991,1259.693359375,13369.9989318848,2236.18677692413,15.03,541.0,,8154.75,5647.72000130615,8.25,1047.73999023438,1991-08-01,1991,8
Sep 1991,1212.09521484375,14960.000038147,2318.58300291138,15.03,538.94970703125,,7675.953125,5575.09564178467,7.25,1025.60009765625,1991-09-01,1991,9
Oct 1991,1152.95458984375,17625.0,2360.64557547607,15.03,522.19873046875,,7453.86328125,5550.09115499878,7.25,991.64990234375,1991-10-01,1991,10
Nov 1991,1134.92504882813,24380.0010681152,2375.66037788696,15.03,506.241180419922,,7258.5,5514.45042627563,7.5,1100.65014648438,1991-11-01,1991,11
Dec 1991,1099.5263671875,30580.0018310547,2205.91849749756,15.03,531.3681640625,,7140.263671875,5515.89492064209,7.4,1185.0791015625,1991-12-01,1991,12
Jan 1992,1181.22729492188,30920.0019836426,2150.57962901611,14.31,515.671875,,7531.13671875,5483.09137531128,8.75,1157.6591796875,1992-01-01,1992,1
Feb 1992,1270.75,28250.0,2208.89225860596,14.31,505.746032714844,,7888.0,5612.10012927856,7.9,1135.47509765625,1992-02-01,1992,2
Mar 1992,1282.02270507813,28330.0018310547,2231.78550956421,14.31,523.1494140625,,7430.455078125,5637.04540996094,7.75,1217.77270507813,1992-03-01,1992,3
Apr 1992,1317.125,27020.0004577637,2214.16681599274,14.31,533.256103515625,,7417.951171875,5836.2497276123,7.75,1304.94995117188,1992-04-01,1992,4
May 1992,1306.71069335938,26500.0,2219.31505581207,14.31,520.75,,7333.947265625,6113.15801934814,7.55,1377.73681640625,1992-05-01,1992,5
Jun 1992,1275.27270507813,24750.0,2296.44193858643,14.31,551.019287109375,,7202.36328125,6631.99994276123,7.75,1385.4091796875,1992-06-01,1992,6
Jul 1992,1314.34790039063,21669.9981689453,2527.28502240143,14.31,633.2509765625,,7516.173828125,6980.49985119018,7.75,1320.4091796875,1992-07-01,1992,7
Aug 1992,1305.55004882813,19630.0010681152,2513.46998458252,14.31,655.278076171875,,7279.75,6784.21076134033,8.05,1363.40014648438,1992-08-01,1992,8
Sep 1992,1270.21435546875,18781.25,2419.61418178101,14.31,624.83984375,,6918.572265625,6643.33320200806,8.75,1367.119140625,1992-09-01,1992,9
Oct 1992,1180.84106445313,15350.0022888184,2262.45696237183,14.31,540.45263671875,,6322.5,6025.90907946167,10.25,1158.36376953125,1992-10-01,1992,10
Nov 1992,1162.21435546875,16312.5,2161.78909368286,14.31,462.054107666016,,5593.71484375,5735.71439985962,10.5,1052.23803710938,1992-11-01,1992,11
Dec 1992,1209.02380371094,15875.0,2211.95028749237,14.31,456.697265625,,5751.1904296875,5765.80926595459,10.0,1061.47619628906,1992-12-01,1992,12
Jan 1993,1208.09997558594,15505.0001144409,2264.21397077332,12.58,436.901947021484,,5948.10009765625,5913.09992277222,9.8,1067.57495117188,1993-01-01,1993,1
Feb 1993,1203.15002441406,15958.3330154419,2212.18139313507,12.58,415.000946044922,,6050.75,5792.75006144409,10.1,1073.625,1993-02-01,1993,2
Mar 1993,1150.47827148438,16125.0,2152.38020099945,12.58,405.427062988281,,5974.9130859375,5666.30466264038,10.2,996.760864257813,1993-03-01,1993,3
Apr 1993,1110.27502441406,15274.9996185303,1953.62060192108,12.58,422.113708496094,,5987.5,5596.49999379883,10.35,1006.0,1993-04-01,1993,4
May 1993,1125.42102050781,14800.0001907349,1799.35169844818,12.58,407.657562255859,,5777.78955078125,5505.47363722839,10.1,979.26318359375,1993-05-01,1993,5
Jun 1993,1168.09094238281,13687.5,1857.87070840454,12.58,397.061309814453,,5544.318359375,5115.45443951416,10.3,928.227294921875,1993-06-01,1993,6
Jul 1993,1203.18176269531,12875.0,1927.33981992645,12.58,389.636352539063,,5051.181640625,4978.54537110901,9.9,930.068176269531,1993-07-01,1993,7
Aug 1993,1172.76196289063,12175.0001907349,1951.07137548676,12.58,389.880950927734,,4740.47607421875,4819.00006005859,10.05,886.833312988281,1993-08-01,1993,8
Sep 1993,1116.90905761719,12333.3330154419,1858.24999750519,12.58,376.340911865234,,4376.04541015625,4510.68192121277,10.2,875.727294921875,1993-09-01,1993,9
Oct 1993,1089.42858886719,12216.6662216187,1646.99992897491,12.58,386.071441650391,,4464.85693359375,4687.23822227783,10.175,918.571411132813,1993-10-01,1993,10
Nov 1993,1040.02270507813,11649.9996185303,1632.56810484467,12.58,401.636352539063,,4642.27294921875,4643.81828251038,9.9,929.386352539063,1993-11-01,1993,11
Dec 1993,1091.34997558594,13399.9996185303,1723.6250736618,12.58,460.375,,5139.7998046875,4781.69987844543,9.85,975.534973144531,1993-12-01,1993,12
