Month;ALUMINUM ($/mt);IRON_ORE ($/dmtu);COPPER ($/mt);LEAD ($/mt);Tin ($/mt);NICKEL ($/mt);Zinc ($/mt);GOLD ($/troy oz);PLATINUM ($/troy oz);SILVER ($/troy oz)
1960M01;511,47;11,42;715,40;206,10;2180,40;1631,00;260,80;35,27;83,50;0,91
1960M02;511,47;11,42;728,19;203,70;2180,40;1631,00;244,90;35,27;83,50;0,91
1960M03;511,47;11,42;684,94;210,30;2173,80;1631,00;248,70;35,27;83,50;0,91
1960M04;511,47;11,42;723,11;213,60;2178,20;1631,00;254,60;35,27;83,50;0,91
1960M05;511,47;11,42;684,75;213,40;2162,70;1631,00;253,80;35,27;83,50;0,91
1960M06;511,47;11,42;691,59;202,40;2184,80;1631,00;249,80;35,27;83,50;0,91
1960M07;511,47;11,42;702,39;196,20;2248,70;1631,00;248,70;35,27;83,50;0,91
1960M08;511,47;11,42;675,94;195,30;2204,60;1631,00;241,00;35,27;83,50;0,91
1960M09;511,47;11,42;647,06;192,70;2226,70;1631,00;240,10;35,27;83,50;0,91
1960M10;511,47;11,42;612,66;185,20;2226,70;1631,00;242,30;35,27;83,50;0,91
1960M11;511,47;11,42;642,13;188,10;2204,60;1631,00;241,40;35,27;83,50;0,91
1960M12;511,47;11,42;636,91;179,20;2189,20;1631,00;228,20;35,27;83,50;0,91
1961M01;511,47;11,02;606,71;175,90;2162,70;1711,00;218,00;35,25;83,50;0,91
1961M02;511,47;11,02;616,63;179,90;2187,00;1711,00;228,20;35,25;83,50;0,91
1961M03;511,47;11,02;621,26;181,70;2248,70;1711,00;233,20;35,25;83,50;0,91
1961M04;511,47;11,02;631,84;185,00;2308,20;1711,00;231,30;35,25;83,50;0,91
1961M05;511,47;11,02;668,44;183,60;2376,60;1711,00;227,10;35,25;83,50;0,91
1961M06;511,47;11,02;652,12;178,40;2467,00;1711,00;217,80;35,25;83,50;0,91
1961M07;511,47;11,02;633,39;178,80;2519,90;1711,00;214,70;35,25;83,50;0,91
1961M08;511,47;11,02;636,47;178,40;2605,90;1711,00;210,80;35,25;83,50;0,91
1961M09;511,47;11,02;632,72;176,40;2630,10;1711,00;203,70;35,25;83,50;0,91
